lon,lat,ssrd
97.5,1.200000048,4.493121739
97.5,1.299999952,4.53902685
97.5,1.399999976,4.62771725
97.5,3,4.59145055
97.5,3.099999905,4.558074186
97.5,3.200000048,4.529507136
97.5,3.299999952,4.462669342
97.5,3.400000095,4.403839817
97.5,3.5,4.361347322
97.5,3.599999905,4.33718205
97.5,3.700000048,4.305627728
97.5,3.799999952,4.262314225
97.5,3.900000095,4.278906458
97.5,4,4.313703258
97.5,4.099999905,4.359663764
97.5,4.199999809,4.427987283
97.5,4.300000191,4.502043994
97.5,4.400000095,4.588540428
97.5,4.5,4.680754231
97.5,4.599999905,4.769068747
97.5,4.699999809,4.850688606
97.5,4.800000191,4.928608992
97.5,4.900000095,5.002837817
97.5,5,5.034910464
97.5,5.099999905,5.047933792
97.5,5.199999809,5.057237867
97.59999847,0.899999976,4.407119883
97.59999847,1,4.368591956
97.59999847,1.100000024,4.373539753
97.59999847,1.200000048,4.390602828
97.59999847,1.299999952,4.441364733
97.59999847,2.900000095,4.552251967
97.59999847,3,4.532187769
97.59999847,3.099999905,4.498429589
97.59999847,3.200000048,4.464426097
97.59999847,3.299999952,4.42866585
97.59999847,3.400000095,4.383387867
97.59999847,3.5,4.339502628
97.59999847,3.599999905,4.313072172
97.59999847,3.700000048,4.294343347
97.59999847,3.799999952,4.290121594
97.59999847,3.900000095,4.321179358
97.59999847,4,4.356739797
97.59999847,4.099999905,4.40316125
97.59999847,4.199999809,4.471168236
97.59999847,4.300000191,4.540595664
97.59999847,4.400000095,4.616426933
97.59999847,4.5,4.702567269
97.59999847,4.599999905,4.791101383
97.59999847,4.699999809,4.87315845
97.59999847,4.800000191,4.951197536
97.59999847,4.900000095,5.023137436
97.59999847,5,5.048155367
97.59999847,5.099999905,5.059146953
97.69999695,0.699999988,4.548574258
97.69999695,0.800000012,4.483336931
97.69999695,0.899999976,4.415005497
97.69999695,1,4.334432175
97.69999695,1.100000024,4.349809714
97.69999695,2.400000095,4.667396564
97.69999695,2.5,4.637628669
97.69999695,2.599999905,4.596459675
97.69999695,2.700000048,4.551634731
97.69999695,2.799999952,4.524697822
97.69999695,2.900000095,4.507575397
97.69999695,3,4.483865142
97.69999695,3.099999905,4.449485767
